Province;Care sector/Arrondissement;Flemish Region;Brussels;Walloon Region
West-Vlaanderen;Brugge;1,87%;-;-
-;Oostende;1,12%;-;-
-;Roeselare;2,13%;-;-
-;Kotrijk;1,88%;-;-
Oost-Vlaanderen;Gent;4,23%;-;-
-;Sint-Niklaas;1,14%;-;-
-;Aalst;1,63%;-;-
Vlaams-Brabant;West;2,90%;-;-
-;Leuven;4,10%;-;-
Antwerpen;Antwerpen;3,68%;-;-
-;Mechelen;1,59%;-;-
-;Turhout;1,74%;-;-
Limburg;Hasselt;4,93%;-;-
-;Genk;2,07%;-;-
Brussels;-;-;30%;-
Hainaut;Tournai;-;-;1,48%
-;Charleroi;-;-;2,06%
-;Thuin;-;-;0,73%
-;Mons;-;-;1,23%
-;Soignies;-;-;0,90%
Li`ege;Huy;-;-;1,20%
-;Li`ege;-;-;3,89%
-;Verviers;-;-;1,31%
-;German Community;-;-;3%
Luxembourg;Arlon;-;-;3,75%
-;Neufchateau;-;-;2,65%
Namur;Namur;-;-;4,09%
-;Dinant;-;-;2,31%
Brabant-Wallon;Nivelles;-;-;6,40%
